,address,date,district,municipality,price,area,rooms,floor
0,Snövädersgatan 1,2014-12-29,Biskopsgården,Göteborg,1280000,68.5,3.0,3.0
1,Vänortsgatan 4E,2014-12-29,Mölndal Centrum,Mölndal,900000,58.0,2.0,3.0
2,Befälsgatan 8,2014-12-28,Kortedala,Göteborg,1400000,53.0,2.0,4.0
3,Lillekärr Norra 90,2014-12-28,Kärra-Rödbo,Göteborg,1150000,64.5,2.0,1.0
4,Nordhemsgatan 70A,2014-12-26,Linnéstaden,Göteborg,3600000,97.0,4.0,3.0
5,Gitarrgatan 3,2014-12-23,Ruddalen,Göteborg,1900000,69.5,3.0,
6,Fagottgatan 2,2014-12-22,Västra Frölunda,Göteborg,1690000,58.0,2.0,12.0
7,Anders Personsgatan 9,2014-12-22,Centrum,Göteborg,3250000,80.0,3.0,6.0
8,Arvesgärde 9,2014-12-21,Tuve,Göteborg,1300000,40.5,1.5,
9,Sagogången 3,2014-12-21,Hisings Backa,Göteborg,1450000,79.0,3.0,2.0
10,Guldpokalsgatan 6D,2014-12-20,Hisingen,Göteborg,1530000,49.0,2.0,1.0
11,Stabbegatan 36,2014-12-20,Björkekärr,Göteborg,1840000,62.0,3.0,
12,Lillekärr Södra 160,2014-12-20,Hisings Kärra,Göteborg,1550000,75.5,3.0,
13,Sagogången 20,2014-12-20,Hisings Backa,Göteborg,1305000,96.5,4.0,
14,Cederflychts gata 9,2014-12-19,Backa,Göteborg,1030000,66.0,2.0,3.0
15,Brunnehagen 45,2014-12-19,Tuve-Säve,Göteborg,1435000,78.0,3.0,
16,Fullblodsgatan 1A,2014-12-19,Åby,Mölndal,1420000,59.5,2.0,
17,Sergelsgatan 3A,2014-12-19,Lunden,Göteborg,1920000,44.0,2.0,4.0
18,Bangatan 8B,2014-12-19,Masthugget,Göteborg,2925000,78.0,3.0,2.0
19,Poetgatan 45,2014-12-19,Hisings Backa,Göteborg,1430000,93.5,4.0,
20,Torggatan 94,2014-12-19,Centrum,Mölndal,1510000,110.0,4.0,
21,Regnvädersgatan 24,2014-12-19,Biskopsgården,Göteborg,1915000,94.5,4.0,
22,Teleskopgatan 16,2014-12-19,Bergsjön,Göteborg,590000,72.5,3.0,
23,Arvesgärde 11,2014-12-19,Tuve,Göteborg,1290000,65.5,2.0,3.0
24,Sörhallstorget 19,2014-12-19,Eriksberg,Göteborg,3090000,90.0,4.0,4.0
25,Flöjtgatan 27,2014-12-19,Ruddalen,Göteborg,1350000,31.5,1.0,4.0
26,Lotta Svärdsgatan 2B,2014-12-18,Gamlestaden,Göteborg,1415000,34.5,1.0,
27,Sveagatan 5,2014-12-18,Linné,Göteborg,3080000,64.0,2.0,4.0
28,Ängskogsvägen 20B,2014-12-18,Tuve,Göteborg,1070000,58.5,2.0,
29,Nordhemsgatan 62,2014-12-18,Linnéstaden,Göteborg,2350000,39.0,1.0,1.0
30,Kastellgatan 17,2014-12-18,Linnéstaden,Göteborg,3400000,62.0,2.0,1.0
31,Älvsborgsgatan 32,2014-12-18,Majorna,Göteborg,2000000,48.0,2.0,1.0
32,Björcksgatan 56A,2014-12-18,Östra Centrum,Göteborg,2400000,63.0,2.0,2.0
33,Majorsgatan 4,2014-12-18,Linnéstaden,Göteborg,5650000,112.0,4.0,2.0
34,Stobéegatan 10A,2014-12-18,Kålltorp,Göteborg,1750000,45.0,2.0,3.0
35,Önskevädersgatan 47,2014-11-21,Biskopsgården,Göteborg,1200000,72.0,3.0,1.0
36,Karl Gustavsgatan 7A,2014-11-21,Vasastaden,Göteborg,3650000,70.0,3.0,3.0
37,Arvesgärde 7,2014-11-21,Tuve,Göteborg,1605000,81.5,3.0,
38,Nordostpassagen 55,2014-11-21,Linnéstaden,Göteborg,1645000,30.0,1.0,6.0
39,Kabelgatan 10,2014-11-21,Majorna,Göteborg,1850000,54.5,2.0,2.5
40,Engelbrektsgatan 55,2014-11-21,Lorensberg,Göteborg,7485000,141.0,5.0,3.0
41,Kapplandsgatan 18,2014-11-21,Högsbo,Göteborg,2230000,66.0,3.0,1.0
42,Rörstrandsgatan 7A,2014-11-21,Lundby,Göteborg,1780000,73.0,3.0,2.0
43,Brunnehagen 32,2014-11-21,Tuve-Säve,Göteborg,1400000,80.0,3.0,
44,Smörslottsgatan 65,2014-11-21,Östra Centrum,Göteborg,3150000,105.0,4.0,3.0
45,Brunkebergsgatan 9A,2014-11-21,Örgryte,Göteborg,1540000,33.0,1.0,1.0
46,Södra vägen 81,2014-11-21,Lorensberg,Göteborg,3700000,84.0,3.0,4.0
47,Växthusvägen 50,2014-11-21,Tuve-Säve,Göteborg,2710000,108.5,4.0,
48,Västra Annebergsvägen 3C,2014-11-21,Anneberg,Partille,1420000,83.5,3.0,3.0
49,Bratteråsgatan 46,2014-11-21,Eriksberg,Göteborg,1535000,46.0,1.0,1.0
50,Sergelsgatan 3E,2014-11-21,Lunden,Göteborg,1960000,56.0,2.0,3.0
51,Marklandsgatan 61,2014-11-21,Högsbo,Göteborg,1840000,54.0,2.0,
52,Andra Långgatan 7,2014-11-20,Linnéstaden,Göteborg,3875000,122.0,3.5,1.0
53,Harald Hjärnesgatan 18B,2014-11-20,Lundby,Göteborg,1550000,52.0,2.0,2.0
54,Carl Larssonsgatan 1A,2014-11-20,Örgryte,Göteborg,3225000,73.5,3.0,2.0
55,Kallebäcksvägen 13B,2014-11-20,Kallebäck,Göteborg,2060000,91.5,4.0,9.0
56,Kapellplatsen 1A,2014-11-20,Vasastaden,Göteborg,2100000,33.0,1.0,3.0
57,Fricksgatan 2A,2014-11-20,Norra Guldheden,Göteborg,1880000,39.5,1.0,3.0
58,Svanehöjdsgatan 9B,2014-11-20,Biskopsgården,Göteborg,1250000,65.0,2.0,
59,Gröna gatan 51,2014-11-20,Majorna,Göteborg,2600000,82.5,3.0,1.0
60,Prilyckegatan 223,2014-11-20,Hisings Kärra,Göteborg,1830000,79.0,3.0,
61,Chalmersgatan 24,2014-11-20,Lorensberg,Göteborg,5750000,109.0,3.0,6.0
62,Doktor Forselius gata 8,2014-11-20,Guldheden,Göteborg,2530000,81.5,4.0,
63,Bratteråsgatan 70,2014-11-20,Eriksberg,Göteborg,5050000,105.0,3.5,7.0
64,Lillekärr Södra 126,2014-11-20,Hisings Kärra,Göteborg,1235000,75.5,3.0,
65,Kabelgatan 41A,2014-11-20,Majorna,Göteborg,1750000,42.5,1.0,2.0
